32	103	3	22.0000	Italy VAT	F2CBBEBF-42C7-4D42-B86D-7F5B8231E83C	2026-01-01 00:00:00.000
33	108	3	10.0000	Japan Consumption Tax	31A84D8B-CA2C-4981-AA9F-DBADA5BE42DB	2026-01-01 00:00:00.000
34	109	3	10.0000	Korea VAT	D093B3E1-0337-4634-8D77-320A7F540588	2026-01-01 00:00:00.000
35	110	3	21.0000	Netherlands BTW	F44B118D-3166-4541-89AE-EED21C2F3FB9	2026-01-01 00:00:00.000
36	111	3	23.0000	Portugal IVA	FF19EF99-D056-41CE-99F9-90885550D318	2026-01-01 00:00:00.000
37	112	3	20.0000	Russia VAT	C87C1E5D-9DF4-4B6A-8B54-D6D3BFBB3BD6	2026-01-01 00:00:00.000
38	113	3	18.0000	Turkey KDV	3045E7B2-5A43-48E0-BFC4-F27F91C63B20	2026-01-01 00:00:00.000
39	114	3	10.0000	Vietnam VAT	0D25BAEB-A8DE-459A-B6CB-4D3718318D6F	2026-01-01 00:00:00.000
40	115	3	11.0000	Indonesia PPN	2EF748A7-3E9B-46ED-9731-E8976A2916B4	2026-01-01 00:00:00.000
41	116	3	13.0000	China VAT	25E7C795-9740-4BB2-9A95-1BD719804553	2026-01-01 00:00:00.000
42	117	3	15.0000	New Zealand GST	1E754AB7-8E01-4B2E-9964-C15D8EAF02BE	2026-01-01 00:00:00.000
43	118	3	23.0000	Ireland VAT	80A12D22-1EA7-4006-94DE-77806F47F798	2026-01-01 00:00:00.000
