20778+|B1A20001-0001-0001-0001-000000000001+|2024-01-01 00:00:00.000&|
20779+|B1A20002-0002-0002-0002-000000000002+|2024-01-01 00:00:00.000&|
20780+|B1A20003-0003-0003-0003-000000000003+|2024-01-01 00:00:00.000&|
20781+|B1A20004-0004-0004-0004-000000000004+|2024-01-01 00:00:00.000&|
20782+|B1A20005-0005-0005-0005-000000000005+|2024-01-01 00:00:00.000&|
20783+|B1A20006-0006-0006-0006-000000000006+|2024-01-01 00:00:00.000&|
20784+|B1A20007-0007-0007-0007-000000000007+|2024-01-01 00:00:00.000&|
20785+|B1A20008-0008-0008-0008-000000000008+|2024-01-01 00:00:00.000&|
20786+|B1A20009-0009-0009-0009-000000000009+|2024-01-01 00:00:00.000&|
20787+|B1A20010-0010-0010-0010-000000000010+|2024-01-01 00:00:00.000&|
20788+|B1A20011-0011-0011-0011-000000000011+|2024-01-01 00:00:00.000&|
20789+|B1A20012-0012-0012-0012-000000000012+|2024-01-01 00:00:00.000&|
20790+|B1A20013-0013-0013-0013-000000000013+|2024-01-01 00:00:00.000&|
20791+|B1A20014-0014-0014-0014-000000000014+|2024-01-01 00:00:00.000&|
20792+|B1A20015-0015-0015-0015-000000000015+|2024-01-01 00:00:00.000&|
20793+|B1A20016-0016-0016-0016-000000000016+|2024-01-01 00:00:00.000&|
20794+|B1A20017-0017-0017-0017-000000000017+|2024-01-01 00:00:00.000&|
20795+|B1A20018-0018-0018-0018-000000000018+|2024-01-01 00:00:00.000&|
20796+|B1A20019-0019-0019-0019-000000000019+|2024-01-01 00:00:00.000&|
20797+|B1A20020-0020-0020-0020-000000000020+|2024-01-01 00:00:00.000&|
20798+|B1A20021-0021-0021-0021-000000000021+|2024-01-01 00:00:00.000&|
20799+|B1A20022-0022-0022-0022-000000000022+|2024-01-01 00:00:00.000&|
20800+|B1A20023-0023-0023-0023-000000000023+|2024-01-01 00:00:00.000&|
20801+|B1A20024-0024-0024-0024-000000000024+|2024-01-01 00:00:00.000&|
20802+|B1A20025-0025-0025-0025-000000000025+|2024-01-01 00:00:00.000&|
20803+|B1A20026-0026-0026-0026-000000000026+|2024-01-01 00:00:00.000&|
20804+|B1A20027-0027-0027-0027-000000000027+|2024-01-01 00:00:00.000&|
20805+|B1A20028-0028-0028-0028-000000000028+|2024-01-01 00:00:00.000&|
20806+|B1A20029-0029-0029-0029-000000000029+|2024-01-01 00:00:00.000&|
20807+|B1A20030-0030-0030-0030-000000000030+|2024-01-01 00:00:00.000&|
